最近的美術館距離,最近的美術館,最近的公車站距離,最近的公車站,最近的便利商店距離,最近的便利商店,最近的百貨公司距離,最近的百貨公司,最近的交流道距離,最近的交流道,最近的高鐵站距離,最近的高鐵站,最近的圖書館距離,最近的圖書館,最近的超市距離,最近的超市,最近的電影院距離,最近的電影院,最近的捷運站距離,最近的捷運站,最近的博物館距離,最近的博物館,最近的夜市距離,最近的夜市,最近的學校距離,最近的學校,最近的商圈距離,最近的商圈,最近的菜市場距離,最近的菜市場,最近的火車站距離,最近的火車站
7231,桃園市立兒童美術館,8764,桃園公車站,6909,全家便利(八德瑞祥店),3779,遠東SOGO 中壢店,15355,交流道,6747,高鐵桃園站,9194,桃園市立圖書館 總館,10904,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10312,桃園統領威秀影城,3261,中壢火車站,11464,大溪木藝生態博物館,4646,八德興仁花園夜市,9374,桃園市私立康萊爾雙語中小學,3504,中平商圈徒步區,4464,內壢菜市場,3261,中壢火車站
7223,桃園市立兒童美術館,8756,桃園公車站,6900,全家便利(八德瑞祥店),3770,遠東SOGO 中壢店,15346,交流道,6738,高鐵桃園站,9186,桃園市立圖書館 總館,10895,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10304,桃園統領威秀影城,3253,中壢火車站,11455,大溪木藝生態博物館,4637,八德興仁花園夜市,9365,桃園市私立康萊爾雙語中小學,3495,中平商圈徒步區,4456,內壢菜市場,3253,中壢火車站
7253,桃園市立兒童美術館,8786,桃園公車站,6931,全家便利(八德瑞祥店),3801,遠東SOGO 中壢店,15376,交流道,6769,高鐵桃園站,9216,桃園市立圖書館 總館,10926,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10334,桃園統領威秀影城,3283,中壢火車站,11485,大溪木藝生態博物館,4668,八德興仁花園夜市,9396,桃園市私立康萊爾雙語中小學,3526,中平商圈徒步區,4486,內壢菜市場,3283,中壢火車站
7220,桃園市立兒童美術館,8754,桃園公車站,6898,全家便利(八德瑞祥店),3768,遠東SOGO 中壢店,15344,交流道,6736,高鐵桃園站,9183,桃園市立圖書館 總館,10893,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10301,桃園統領威秀影城,3250,中壢火車站,11453,大溪木藝生態博物館,4635,八德興仁花園夜市,9363,桃園市私立康萊爾雙語中小學,3493,中平商圈徒步區,4453,內壢菜市場,3250,中壢火車站
7236,桃園市立兒童美術館,8769,桃園公車站,6913,全家便利(八德瑞祥店),3784,遠東SOGO 中壢店,15359,交流道,6751,高鐵桃園站,9199,桃園市立圖書館 總館,10908,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10317,桃園統領威秀影城,3266,中壢火車站,11468,大溪木藝生態博物館,4651,八德興仁花園夜市,9379,桃園市私立康萊爾雙語中小學,3509,中平商圈徒步區,4469,內壢菜市場,3266,中壢火車站
7240,桃園市立兒童美術館,8773,桃園公車站,6918,全家便利(八德瑞祥店),3788,遠東SOGO 中壢店,15363,交流道,6756,高鐵桃園站,9203,桃園市立圖書館 總館,10913,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10321,桃園統領威秀影城,3270,中壢火車站,11472,大溪木藝生態博物館,4655,八德興仁花園夜市,9383,桃園市私立康萊爾雙語中小學,3513,中平商圈徒步區,4473,內壢菜市場,3270,中壢火車站
7247,桃園市立兒童美術館,8780,桃園公車站,6924,全家便利(八德瑞祥店),3795,遠東SOGO 中壢店,15370,交流道,6762,高鐵桃園站,9210,桃園市立圖書館 總館,10919,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10328,桃園統領威秀影城,3277,中壢火車站,11479,大溪木藝生態博物館,4661,八德興仁花園夜市,9390,桃園市私立康萊爾雙語中小學,3519,中平商圈徒步區,4480,內壢菜市場,3277,中壢火車站
7253,桃園市立兒童美術館,8786,桃園公車站,6931,全家便利(八德瑞祥店),3801,遠東SOGO 中壢店,15376,交流道,6769,高鐵桃園站,9216,桃園市立圖書館 總館,10926,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10334,桃園統領威秀影城,3283,中壢火車站,11485,大溪木藝生態博物館,4668,八德興仁花園夜市,9396,桃園市私立康萊爾雙語中小學,3526,中平商圈徒步區,4486,內壢菜市場,3283,中壢火車站
7231,桃園市立兒童美術館,8764,桃園公車站,6909,全家便利(八德瑞祥店),3779,遠東SOGO 中壢店,15355,交流道,6747,高鐵桃園站,9194,桃園市立圖書館 總館,10904,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10312,桃園統領威秀影城,3261,中壢火車站,11464,大溪木藝生態博物館,4646,八德興仁花園夜市,9374,桃園市私立康萊爾雙語中小學,3504,中平商圈徒步區,4464,內壢菜市場,3261,中壢火車站
7253,桃園市立兒童美術館,8786,桃園公車站,6931,全家便利(八德瑞祥店),3801,遠東SOGO 中壢店,15376,交流道,6769,高鐵桃園站,9216,桃園市立圖書館 總館,10926,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10334,桃園統領威秀影城,3283,中壢火車站,11485,大溪木藝生態博物館,4668,八德興仁花園夜市,9396,桃園市私立康萊爾雙語中小學,3526,中平商圈徒步區,4486,內壢菜市場,3283,中壢火車站
7240,桃園市立兒童美術館,8773,桃園公車站,6918,全家便利(八德瑞祥店),3788,遠東SOGO 中壢店,15363,交流道,6756,高鐵桃園站,9203,桃園市立圖書館 總館,10913,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10321,桃園統領威秀影城,3270,中壢火車站,11472,大溪木藝生態博物館,4655,八德興仁花園夜市,9383,桃園市私立康萊爾雙語中小學,3513,中平商圈徒步區,4473,內壢菜市場,3270,中壢火車站
7223,桃園市立兒童美術館,8756,桃園公車站,6900,全家便利(八德瑞祥店),3770,遠東SOGO 中壢店,15346,交流道,6738,高鐵桃園站,9186,桃園市立圖書館 總館,10895,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10304,桃園統領威秀影城,3253,中壢火車站,11455,大溪木藝生態博物館,4637,八德興仁花園夜市,9365,桃園市私立康萊爾雙語中小學,3495,中平商圈徒步區,4456,內壢菜市場,3253,中壢火車站
7225,桃園市立兒童美術館,8758,桃園公車站,6903,全家便利(八德瑞祥店),3773,遠東SOGO 中壢店,15348,交流道,6740,高鐵桃園站,9188,桃園市立圖書館 總館,10897,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10306,桃園統領威秀影城,3255,中壢火車站,11457,大溪木藝生態博物館,4640,八德興仁花園夜市,9368,桃園市私立康萊爾雙語中小學,3498,中平商圈徒步區,4458,內壢菜市場,3255,中壢火車站
7258,桃園市立兒童美術館,8791,桃園公車站,6935,全家便利(八德瑞祥店),3805,遠東SOGO 中壢店,15381,交流道,6773,高鐵桃園站,9221,桃園市立圖書館 總館,10930,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10339,桃園統領威秀影城,3287,中壢火車站,11490,大溪木藝生態博物館,4672,八德興仁花園夜市,9400,桃園市私立康萊爾雙語中小學,3530,中平商圈徒步區,4491,內壢菜市場,3287,中壢火車站
7210,桃園市立兒童美術館,8743,桃園公車站,6887,全家便利(八德瑞祥店),3757,遠東SOGO 中壢店,15333,交流道,6725,高鐵桃園站,9172,桃園市立圖書館 總館,10882,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10291,桃園統領威秀影城,3239,中壢火車站,11442,大溪木藝生態博物館,4624,八德興仁花園夜市,9352,桃園市私立康萊爾雙語中小學,3482,中平商圈徒步區,4443,內壢菜市場,3239,中壢火車站
7247,桃園市立兒童美術館,8780,桃園公車站,6924,全家便利(八德瑞祥店),3795,遠東SOGO 中壢店,15370,交流道,6762,高鐵桃園站,9210,桃園市立圖書館 總館,10919,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10328,桃園統領威秀影城,3277,中壢火車站,11479,大溪木藝生態博物館,4661,八德興仁花園夜市,9390,桃園市私立康萊爾雙語中小學,3519,中平商圈徒步區,4480,內壢菜市場,3277,中壢火車站
7249,桃園市立兒童美術館,8782,桃園公車站,6927,全家便利(八德瑞祥店),3797,遠東SOGO 中壢店,15372,交流道,6764,高鐵桃園站,9212,桃園市立圖書館 總館,10921,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10330,桃園統領威秀影城,3279,中壢火車站,11481,大溪木藝生態博物館,4664,八德興仁花園夜市,9392,桃園市私立康萊爾雙語中小學,3522,中平商圈徒步區,4482,內壢菜市場,3279,中壢火車站
7244,桃園市立兒童美術館,8778,桃園公車站,6922,全家便利(八德瑞祥店),3792,遠東SOGO 中壢店,15368,交流道,6760,高鐵桃園站,9207,桃園市立圖書館 總館,10917,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10326,桃園統領威秀影城,3274,中壢火車站,11477,大溪木藝生態博物館,4659,八德興仁花園夜市,9387,桃園市私立康萊爾雙語中小學,3517,中平商圈徒步區,4478,內壢菜市場,3274,中壢火車站
7220,桃園市立兒童美術館,8754,桃園公車站,6898,全家便利(八德瑞祥店),3768,遠東SOGO 中壢店,15344,交流道,6736,高鐵桃園站,9183,桃園市立圖書館 總館,10893,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10301,桃園統領威秀影城,3250,中壢火車站,11453,大溪木藝生態博物館,4635,八德興仁花園夜市,9363,桃園市私立康萊爾雙語中小學,3493,中平商圈徒步區,4453,內壢菜市場,3250,中壢火車站
7229,桃園市立兒童美術館,8762,桃園公車站,6907,全家便利(八德瑞祥店),3777,遠東SOGO 中壢店,15352,交流道,6745,高鐵桃園站,9192,桃園市立圖書館 總館,10902,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10310,桃園統領威秀影城,3259,中壢火車站,11461,大溪木藝生態博物館,4644,八德興仁花園夜市,9372,桃園市私立康萊爾雙語中小學,3502,中平商圈徒步區,4462,內壢菜市場,3259,中壢火車站
7258,桃園市立兒童美術館,8791,桃園公車站,6935,全家便利(八德瑞祥店),3805,遠東SOGO 中壢店,15381,交流道,6773,高鐵桃園站,9221,桃園市立圖書館 總館,10930,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10339,桃園統領威秀影城,3287,中壢火車站,11490,大溪木藝生態博物館,4672,八德興仁花園夜市,9400,桃園市私立康萊爾雙語中小學,3530,中平商圈徒步區,4491,內壢菜市場,3287,中壢火車站
7258,桃園市立兒童美術館,8791,桃園公車站,6935,全家便利(八德瑞祥店),3805,遠東SOGO 中壢店,15381,交流道,6773,高鐵桃園站,9221,桃園市立圖書館 總館,10930,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10339,桃園統領威秀影城,3287,中壢火車站,11490,大溪木藝生態博物館,4672,八德興仁花園夜市,9400,桃園市私立康萊爾雙語中小學,3530,中平商圈徒步區,4491,內壢菜市場,3287,中壢火車站
7258,桃園市立兒童美術館,8791,桃園公車站,6935,全家便利(八德瑞祥店),3805,遠東SOGO 中壢店,15381,交流道,6773,高鐵桃園站,9221,桃園市立圖書館 總館,10930,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10339,桃園統領威秀影城,3287,中壢火車站,11490,大溪木藝生態博物館,4672,八德興仁花園夜市,9400,桃園市私立康萊爾雙語中小學,3530,中平商圈徒步區,4491,內壢菜市場,3287,中壢火車站
7244,桃園市立兒童美術館,8778,桃園公車站,6922,全家便利(八德瑞祥店),3792,遠東SOGO 中壢店,15368,交流道,6760,高鐵桃園站,9207,桃園市立圖書館 總館,10917,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10326,桃園統領威秀影城,3274,中壢火車站,11477,大溪木藝生態博物館,4659,八德興仁花園夜市,9387,桃園市私立康萊爾雙語中小學,3517,中平商圈徒步區,4478,內壢菜市場,3274,中壢火車站
7227,桃園市立兒童美術館,8760,桃園公車站,6905,全家便利(八德瑞祥店),3775,遠東SOGO 中壢店,15350,交流道,6743,高鐵桃園站,9190,桃園市立圖書館 總館,10900,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10308,桃園統領威秀影城,3257,中壢火車站,11459,大溪木藝生態博物館,4642,八德興仁花園夜市,9370,桃園市私立康萊爾雙語中小學,3500,中平商圈徒步區,4460,內壢菜市場,3257,中壢火車站
7231,桃園市立兒童美術館,8764,桃園公車站,6909,全家便利(八德瑞祥店),3779,遠東SOGO 中壢店,15355,交流道,6747,高鐵桃園站,9194,桃園市立圖書館 總館,10904,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10312,桃園統領威秀影城,3261,中壢火車站,11464,大溪木藝生態博物館,4646,八德興仁花園夜市,9374,桃園市私立康萊爾雙語中小學,3504,中平商圈徒步區,4464,內壢菜市場,3261,中壢火車站
7229,桃園市立兒童美術館,8762,桃園公車站,6907,全家便利(八德瑞祥店),3777,遠東SOGO 中壢店,15352,交流道,6745,高鐵桃園站,9192,桃園市立圖書館 總館,10902,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10310,桃園統領威秀影城,3259,中壢火車站,11461,大溪木藝生態博物館,4644,八德興仁花園夜市,9372,桃園市私立康萊爾雙語中小學,3502,中平商圈徒步區,4462,內壢菜市場,3259,中壢火車站
7229,桃園市立兒童美術館,8762,桃園公車站,6907,全家便利(八德瑞祥店),3777,遠東SOGO 中壢店,15352,交流道,6745,高鐵桃園站,9192,桃園市立圖書館 總館,10902,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10310,桃園統領威秀影城,3259,中壢火車站,11461,大溪木藝生態博物館,4644,八德興仁花園夜市,9372,桃園市私立康萊爾雙語中小學,3502,中平商圈徒步區,4462,內壢菜市場,3259,中壢火車站
7225,桃園市立兒童美術館,8758,桃園公車站,6903,全家便利(八德瑞祥店),3773,遠東SOGO 中壢店,15348,交流道,6740,高鐵桃園站,9188,桃園市立圖書館 總館,10897,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10306,桃園統領威秀影城,3255,中壢火車站,11457,大溪木藝生態博物館,4640,八德興仁花園夜市,9368,桃園市私立康萊爾雙語中小學,3498,中平商圈徒步區,4458,內壢菜市場,3255,中壢火車站
7238,桃園市立兒童美術館,8771,桃園公車站,6916,全家便利(八德瑞祥店),3786,遠東SOGO 中壢店,15361,交流道,6753,高鐵桃園站,9201,桃園市立圖書館 總館,10911,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10319,桃園統領威秀影城,3268,中壢火車站,11470,大溪木藝生態博物館,4653,八德興仁花園夜市,9381,桃園市私立康萊爾雙語中小學,3511,中平商圈徒步區,4471,內壢菜市場,3268,中壢火車站
7258,桃園市立兒童美術館,8791,桃園公車站,6935,全家便利(八德瑞祥店),3805,遠東SOGO 中壢店,15381,交流道,6773,高鐵桃園站,9221,桃園市立圖書館 總館,10930,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10339,桃園統領威秀影城,3287,中壢火車站,11490,大溪木藝生態博物館,4672,八德興仁花園夜市,9400,桃園市私立康萊爾雙語中小學,3530,中平商圈徒步區,4491,內壢菜市場,3287,中壢火車站
7212,桃園市立兒童美術館,8745,桃園公車站,6889,全家便利(八德瑞祥店),3760,遠東SOGO 中壢店,15335,交流道,6727,高鐵桃園站,9175,桃園市立圖書館 總館,10884,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10293,桃園統領威秀影城,3242,中壢火車站,11444,大溪木藝生態博物館,4626,八德興仁花園夜市,9355,桃園市私立康萊爾雙語中小學,3485,中平商圈徒步區,4445,內壢菜市場,3242,中壢火車站
7236,桃園市立兒童美術館,8769,桃園公車站,6913,全家便利(八德瑞祥店),3784,遠東SOGO 中壢店,15359,交流道,6751,高鐵桃園站,9199,桃園市立圖書館 總館,10908,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10317,桃園統領威秀影城,3266,中壢火車站,11468,大溪木藝生態博物館,4651,八德興仁花園夜市,9379,桃園市私立康萊爾雙語中小學,3509,中平商圈徒步區,4469,內壢菜市場,3266,中壢火車站
7238,桃園市立兒童美術館,8771,桃園公車站,6916,全家便利(八德瑞祥店),3786,遠東SOGO 中壢店,15361,交流道,6753,高鐵桃園站,9201,桃園市立圖書館 總館,10911,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10319,桃園統領威秀影城,3268,中壢火車站,11470,大溪木藝生態博物館,4653,八德興仁花園夜市,9381,桃園市私立康萊爾雙語中小學,3511,中平商圈徒步區,4471,內壢菜市場,3268,中壢火車站
7251,桃園市立兒童美術館,8784,桃園公車站,6929,全家便利(八德瑞祥店),3799,遠東SOGO 中壢店,15374,交流道,6767,高鐵桃園站,9214,桃園市立圖書館 總館,10924,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10332,桃園統領威秀影城,3281,中壢火車站,11483,大溪木藝生態博物館,4666,八德興仁花園夜市,9394,桃園市私立康萊爾雙語中小學,3524,中平商圈徒步區,4484,內壢菜市場,3281,中壢火車站
7234,桃園市立兒童美術館,8767,桃園公車站,6911,全家便利(八德瑞祥店),3781,遠東SOGO 中壢店,15357,交流道,6749,高鐵桃園站,9196,桃園市立圖書館 總館,10906,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10315,桃園統領威秀影城,3263,中壢火車站,11466,大溪木藝生態博物館,4648,八德興仁花園夜市,9376,桃園市私立康萊爾雙語中小學,3506,中平商圈徒步區,4467,內壢菜市場,3263,中壢火車站
7220,桃園市立兒童美術館,8754,桃園公車站,6898,全家便利(八德瑞祥店),3768,遠東SOGO 中壢店,15344,交流道,6736,高鐵桃園站,9183,桃園市立圖書館 總館,10893,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10301,桃園統領威秀影城,3250,中壢火車站,11453,大溪木藝生態博物館,4635,八德興仁花園夜市,9363,桃園市私立康萊爾雙語中小學,3493,中平商圈徒步區,4453,內壢菜市場,3250,中壢火車站
7240,桃園市立兒童美術館,8773,桃園公車站,6918,全家便利(八德瑞祥店),3788,遠東SOGO 中壢店,15363,交流道,6756,高鐵桃園站,9203,桃園市立圖書館 總館,10913,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10321,桃園統領威秀影城,3270,中壢火車站,11472,大溪木藝生態博物館,4655,八德興仁花園夜市,9383,桃園市私立康萊爾雙語中小學,3513,中平商圈徒步區,4473,內壢菜市場,3270,中壢火車站
7249,桃園市立兒童美術館,8782,桃園公車站,6927,全家便利(八德瑞祥店),3797,遠東SOGO 中壢店,15372,交流道,6764,高鐵桃園站,9212,桃園市立圖書館 總館,10921,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10330,桃園統領威秀影城,3279,中壢火車站,11481,大溪木藝生態博物館,4664,八德興仁花園夜市,9392,桃園市私立康萊爾雙語中小學,3522,中平商圈徒步區,4482,內壢菜市場,3279,中壢火車站
7247,桃園市立兒童美術館,8780,桃園公車站,6924,全家便利(八德瑞祥店),3795,遠東SOGO 中壢店,15370,交流道,6762,高鐵桃園站,9210,桃園市立圖書館 總館,10919,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10328,桃園統領威秀影城,3277,中壢火車站,11479,大溪木藝生態博物館,4661,八德興仁花園夜市,9390,桃園市私立康萊爾雙語中小學,3519,中平商圈徒步區,4480,內壢菜市場,3277,中壢火車站
7231,桃園市立兒童美術館,8764,桃園公車站,6909,全家便利(八德瑞祥店),3779,遠東SOGO 中壢店,15355,交流道,6747,高鐵桃園站,9194,桃園市立圖書館 總館,10904,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10312,桃園統領威秀影城,3261,中壢火車站,11464,大溪木藝生態博物館,4646,八德興仁花園夜市,9374,桃園市私立康萊爾雙語中小學,3504,中平商圈徒步區,4464,內壢菜市場,3261,中壢火車站
7253,桃園市立兒童美術館,8786,桃園公車站,6931,全家便利(八德瑞祥店),3801,遠東SOGO 中壢店,15376,交流道,6769,高鐵桃園站,9216,桃園市立圖書館 總館,10926,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10334,桃園統領威秀影城,3283,中壢火車站,11485,大溪木藝生態博物館,4668,八德興仁花園夜市,9396,桃園市私立康萊爾雙語中小學,3526,中平商圈徒步區,4486,內壢菜市場,3283,中壢火車站
7214,桃園市立兒童美術館,8747,桃園公車站,6892,全家便利(八德瑞祥店),3762,遠東SOGO 中壢店,15337,交流道,6729,高鐵桃園站,9177,桃園市立圖書館 總館,10886,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10295,桃園統領威秀影城,3244,中壢火車站,11446,大溪木藝生態博物館,4629,八德興仁花園夜市,9357,桃園市私立康萊爾雙語中小學,3487,中平商圈徒步區,4447,內壢菜市場,3244,中壢火車站
7223,桃園市立兒童美術館,8756,桃園公車站,6900,全家便利(八德瑞祥店),3770,遠東SOGO 中壢店,15346,交流道,6738,高鐵桃園站,9186,桃園市立圖書館 總館,10895,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10304,桃園統領威秀影城,3253,中壢火車站,11455,大溪木藝生態博物館,4637,八德興仁花園夜市,9365,桃園市私立康萊爾雙語中小學,3495,中平商圈徒步區,4456,內壢菜市場,3253,中壢火車站
7231,桃園市立兒童美術館,8764,桃園公車站,6909,全家便利(八德瑞祥店),3779,遠東SOGO 中壢店,15355,交流道,6747,高鐵桃園站,9194,桃園市立圖書館 總館,10904,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10312,桃園統領威秀影城,3261,中壢火車站,11464,大溪木藝生態博物館,4646,八德興仁花園夜市,9374,桃園市私立康萊爾雙語中小學,3504,中平商圈徒步區,4464,內壢菜市場,3261,中壢火車站
7242,桃園市立兒童美術館,8775,桃園公車站,6920,全家便利(八德瑞祥店),3790,遠東SOGO 中壢店,15365,交流道,6758,高鐵桃園站,9205,桃園市立圖書館 總館,10915,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10323,桃園統領威秀影城,3272,中壢火車站,11474,大溪木藝生態博物館,4657,八德興仁花園夜市,9385,桃園市私立康萊爾雙語中小學,3515,中平商圈徒步區,4475,內壢菜市場,3272,中壢火車站
7255,桃園市立兒童美術館,8788,桃園公車站,6933,全家便利(八德瑞祥店),3803,遠東SOGO 中壢店,15379,交流道,6771,高鐵桃園站,9218,桃園市立圖書館 總館,10928,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10336,桃園統領威秀影城,3285,中壢火車站,11488,大溪木藝生態博物館,4670,八德興仁花園夜市,9398,桃園市私立康萊爾雙語中小學,3528,中平商圈徒步區,4488,內壢菜市場,3285,中壢火車站
7210,桃園市立兒童美術館,8743,桃園公車站,6887,全家便利(八德瑞祥店),3757,遠東SOGO 中壢店,15333,交流道,6725,高鐵桃園站,9172,桃園市立圖書館 總館,10882,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10291,桃園統領威秀影城,3239,中壢火車站,11442,大溪木藝生態博物館,4624,八德興仁花園夜市,9352,桃園市私立康萊爾雙語中小學,3482,中平商圈徒步區,4443,內壢菜市場,3239,中壢火車站
7253,桃園市立兒童美術館,8786,桃園公車站,6931,全家便利(八德瑞祥店),3801,遠東SOGO 中壢店,15376,交流道,6769,高鐵桃園站,9216,桃園市立圖書館 總館,10926,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10334,桃園統領威秀影城,3283,中壢火車站,11485,大溪木藝生態博物館,4668,八德興仁花園夜市,9396,桃園市私立康萊爾雙語中小學,3526,中平商圈徒步區,4486,內壢菜市場,3283,中壢火車站
7238,桃園市立兒童美術館,8771,桃園公車站,6916,全家便利(八德瑞祥店),3786,遠東SOGO 中壢店,15361,交流道,6753,高鐵桃園站,9201,桃園市立圖書館 總館,10911,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10319,桃園統領威秀影城,3268,中壢火車站,11470,大溪木藝生態博物館,4653,八德興仁花園夜市,9381,桃園市私立康萊爾雙語中小學,3511,中平商圈徒步區,4471,內壢菜市場,3268,中壢火車站
7231,桃園市立兒童美術館,8764,桃園公車站,6909,全家便利(八德瑞祥店),3779,遠東SOGO 中壢店,15355,交流道,6747,高鐵桃園站,9194,桃園市立圖書館 總館,10904,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10312,桃園統領威秀影城,3261,中壢火車站,11464,大溪木藝生態博物館,4646,八德興仁花園夜市,9374,桃園市私立康萊爾雙語中小學,3504,中平商圈徒步區,4464,內壢菜市場,3261,中壢火車站
7227,桃園市立兒童美術館,8760,桃園公車站,6905,全家便利(八德瑞祥店),3775,遠東SOGO 中壢店,15350,交流道,6743,高鐵桃園站,9190,桃園市立圖書館 總館,10900,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10308,桃園統領威秀影城,3257,中壢火車站,11459,大溪木藝生態博物館,4642,八德興仁花園夜市,9370,桃園市私立康萊爾雙語中小學,3500,中平商圈徒步區,4460,內壢菜市場,3257,中壢火車站
7223,桃園市立兒童美術館,8756,桃園公車站,6900,全家便利(八德瑞祥店),3770,遠東SOGO 中壢店,15346,交流道,6738,高鐵桃園站,9186,桃園市立圖書館 總館,10895,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10304,桃園統領威秀影城,3253,中壢火車站,11455,大溪木藝生態博物館,4637,八德興仁花園夜市,9365,桃園市私立康萊爾雙語中小學,3495,中平商圈徒步區,4456,內壢菜市場,3253,中壢火車站
7258,桃園市立兒童美術館,8791,桃園公車站,6935,全家便利(八德瑞祥店),3805,遠東SOGO 中壢店,15381,交流道,6773,高鐵桃園站,9221,桃園市立圖書館 總館,10930,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10339,桃園統領威秀影城,3287,中壢火車站,11490,大溪木藝生態博物館,4672,八德興仁花園夜市,9400,桃園市私立康萊爾雙語中小學,3530,中平商圈徒步區,4491,內壢菜市場,3287,中壢火車站
7251,桃園市立兒童美術館,8784,桃園公車站,6929,全家便利(八德瑞祥店),3799,遠東SOGO 中壢店,15374,交流道,6767,高鐵桃園站,9214,桃園市立圖書館 總館,10924,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10332,桃園統領威秀影城,3281,中壢火車站,11483,大溪木藝生態博物館,4666,八德興仁花園夜市,9394,桃園市私立康萊爾雙語中小學,3524,中平商圈徒步區,4484,內壢菜市場,3281,中壢火車站
7218,桃園市立兒童美術館,8751,桃園公車站,6896,全家便利(八德瑞祥店),3766,遠東SOGO 中壢店,15341,交流道,6734,高鐵桃園站,9181,桃園市立圖書館 總館,10891,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10299,桃園統領威秀影城,3248,中壢火車站,11450,大溪木藝生態博物館,4633,八德興仁花園夜市,9361,桃園市私立康萊爾雙語中小學,3491,中平商圈徒步區,4451,內壢菜市場,3248,中壢火車站
7218,桃園市立兒童美術館,8751,桃園公車站,6896,全家便利(八德瑞祥店),3766,遠東SOGO 中壢店,15341,交流道,6734,高鐵桃園站,9181,桃園市立圖書館 總館,10891,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10299,桃園統領威秀影城,3248,中壢火車站,11450,大溪木藝生態博物館,4633,八德興仁花園夜市,9361,桃園市私立康萊爾雙語中小學,3491,中平商圈徒步區,4451,內壢菜市場,3248,中壢火車站
